prefix,number,letter,group_letter,group_number,PDB,Complex,Resolution,Redo
HsKIF,5,A,N,1,1,1,0,
HsKIF,5,C,N,1,0,,,
HsKIF,5,B,N,1,1,1,1,
HsKIF,3,A,N,4,0,,,
HsKIF,3,B,N,4,1,0,1,
HsKIF,3,C,N,4,1,0,1,
HsKIF,17,,N,4,0,,,
HsKIF,20,A,N,6,1,1,1,
HsKIF,20,B,N,6,0,,,
HsKIF,23,,N,6,1,0,1,
HsKIF,6,,,,0,,,
HsKIF,9,,,,1,0,1,
HsKIF,7,,,,1,1,1,
HsKIF,11,,N,2,1,1,1,
HsKIF,4,A,N,5,0,,,
HsKIF,4,B,N,5,0,,,
HsKIF,21,A,N,5,0,,,
HsKIF,21,B,N,5,0,,,
HsKIF,2,C,M,,1,1,1,
HsKIF,2,A,M,,1,1,1,
HsKIF,2,B,M,,0,,,
HsKIF,15,,N,10,1,1,1,
HsKIF,10,,N,7,0,,,
HsKIF,3,C,C,,1,0,1,Redo
HsKIF,2,C,C,,1,1,1,Redo
HsKIF,1,C,C,,0,,,Redo
HsKIF,26,B,N,11,0,,,
HsKIF,26,A,N,11,0,,,
HsKIF,25,,N,11,0,,,
HsKIF,24,,N,11,0,,,
HsKIF,22,,N,8,1,0,1,
HsKIF,19,B,N,8,0,,,
HsKIF,19,A,N,8,0,,,
HsKIF,18,B,N,8,0,,,
HsKIF,18,A,N,8,1,1,1,
HsKIF,12,,N,9,0,,,
HsKIF,16,B,N,3,0,,,
HsKIF,14,,N,3,0,,,
HsKIF,16,A,N,3,0,,,
HsKIF,13,B,N,3,1,0,1,
HsKIF,13,A,N,3,0,,,
HsKIF,1,C,N,3,0,,,Redo
HsKIF,1,A,N,3,1,1,1,
HsKIF,1,B,N,3,0,,,
